,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs,yoffs,lnprob
1978,8.616036473499953,155.0343303751952,-7.184466323642867,2.1311292097863925e-05,65.44375703079896,48.11646990114183,0.06940787551511464,0.048410613445712194,-10733014.09375
1979,2.101929990057931,167.38051322497662,-7.175447255410652,1.2657835709082519e-05,62.36410372746745,51.15505671863314,0.08735447597688217,0.04071084022111149,-10733014.5625
1980,23.872307535046424,143.42832040058377,-7.18823255748513,2.043767034074385e-05,61.52497881182447,47.748503358220404,0.30359370803505437,0.028578688086366145,-10733018.1875
1981,7.479786089921729,160.2396236860665,-7.166066950278374,2.001373117077742e-05,58.41883137957133,48.25875996040862,0.024078190603895752,0.0076267835614675095,-10733015.125
1982,0.09416953395467731,164.02977174850741,-7.179120135179595,1.6968884578205594e-05,64.00955011410903,45.39640807884352,0.18996350454330369,0.011362724279748375,-10733012.46875
1983,8.674294438440178,164.2884175837896,-7.136272553023245,1.751585374962551e-05,64.45597289271316,49.34314354771094,0.18425514451936123,0.049054031571741825,-10733013.53125
1984,505.40857283461645,85.45011604922831,-7.634632898954673,3.98559740578005e-05,24.860923158208056,85.1877850857413,-1.855631343913891,-1.6360900956450828,-10733376.21875
1985,399.05875135160767,236.7686227144797,-5.888135557835743,4.982850784241738e-05,7.719828397751321,41.46386035638889,-1.3648052103643171,-1.8562239759435597,-10733397.03125
1986,1.2011714746077438,164.9913623047932,-7.188694573775283,1.684427473515217e-05,66.36572782440993,46.40673823663389,0.10355582175899114,-0.060548520108470213,-10733014.53125
1987,9.551360851381533,163.20015330991757,-7.1571567291254965,2.3716528958015818e-05,60.65961080572162,51.128325067492334,0.11122294849567844,-0.020007262801130417,-10733015.5625
1988,512.9646489061624,159.29124035909624,-6.576828756625682,1.7931890147941395e-05,0.5698788307866423,75.76487066874434,-1.3161734245134256,-1.845282620818199,-10733374.15625
1989,6.902785849227473,152.18604195966319,-7.223174959610953,2.0751168132577825e-05,52.45391227429651,42.608594019915316,0.10163551225945523,0.048053634844555194,-10733019.03125
1990,6.874856184847557,159.79529565587555,-7.1647753757366,1.0549608493121528e-05,63.71782659030413,46.64028016948762,0.15248808403698688,0.07293709156297615,-10733012.65625
1991,36.51287162017401,128.85343555758772,-7.210908244039274,2.1588052072798402e-05,61.49876016699505,47.951791178167035,0.13762288221533392,-0.013802033120687056,-10733015.8125
1992,28.346177227898345,139.9689714505032,-7.174758091259198,2.1197576455419654e-05,61.514439122323864,47.29579340911927,0.04361986894055253,-0.09816373013675153,-10733015.25
