,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,lnprob
14274,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14276,13.2953266377,148.281673781,-7.19149133584,2.62644134424e-05,53.3188611278,43.2135138279,-0.00556493983498,0.0377961989536,64.0409735909,3.87651302517,-10733020.4688
14277,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14281,10.1838290484,161.574977406,-7.1504959757,2.86147053319e-05,63.8051155547,48.033109203,0.180487508238,0.0308123372792,52.0981045516,4.09769831552,-10733016.5312
14290,28.546055495,133.400337283,-7.20018178167,2.67570557368e-05,65.1617553088,46.2458116692,-0.0557313128451,0.0138158411854,77.3568624934,13.0820808328,-10733018.1562
14298,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14300,12.2239583425,149.258977085,-7.19272570623,2.58947825473e-05,54.3049200932,43.5619261706,0.0200166474732,0.0395604123455,58.7346497613,6.46616107877,-10733017.4375
14301,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14305,10.1838290484,161.574977406,-7.1504959757,2.86147053319e-05,63.8051155547,48.033109203,0.180487508238,0.0308123372792,52.0981045516,4.09769831552,-10733016.5312
14322,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14324,12.2239583425,149.258977085,-7.19272570623,2.58947825473e-05,54.3049200932,43.5619261706,0.0200166474732,0.0395604123455,58.7346497613,6.46616107877,-10733017.4375
14325,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14329,12.0414844055,159.265735698,-7.15332698467,2.86379194319e-05,63.4017873385,48.0364531587,0.166187585435,0.0324773579813,53.8324695637,4.92007390437,-10733016.7812
14346,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
