,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs,yoffs,pp,lnprob
5850,6.227624751968565,156.4227684405639,-7.214498647470207,1.3539123924948693e-05,63.36184400481046,47.02934601334078,0.14987672130392582,0.07576411268410249,1.1313367784336934,-10733013.25
5851,25.157776189741718,135.53507674928608,-7.205410030352352,2.050662495617593e-05,62.27018793433314,46.345706008615274,0.09809802168605543,0.02147902742874787,1.108465929650103,-10733012.25
5852,19.721331595284106,139.32646239450477,-7.21616745595468,1.335039907630372e-05,62.03468792047695,43.73478353061077,0.19681655525625041,0.017391978826810282,1.1679264200638975,-10733015.84375
5853,341.72719809971755,155.2255614165763,-7.0553195702024185,3.7227805442443814e-05,34.38765091939049,26.166459482919322,2.030189964099195,1.7186017976341137,1.4287946788815042,-10733396.625
5854,18.4628210192517,142.74823636986062,-7.222170257048397,1.836929675271374e-05,57.75536833175098,44.68956398100764,0.0661043387661551,-0.027592776040449518,0.991775332230993,-10733014.09375
5855,6.392691798562467,165.33050021094968,-7.1836125948890865,2.2165560342347807e-05,67.3522568363078,50.56966224612545,0.16849506192372432,0.03085363972047661,1.2183461970253304,-10733017.28125
5856,12.571146361813936,150.77280374669309,-7.206632419658938,1.3322963119796254e-05,64.570633998268,45.54373697888573,0.09849711719899329,0.06707042681616043,0.9023819899478447,-10733013.40625
5857,14.126480561056528,152.0678043075228,-7.203068172701574,9.639348941244465e-06,68.03492708401771,47.71600837061862,0.07768495988121354,-0.019556718502617754,0.8379729915791446,-10733014.78125
5858,373.94145733297967,196.72821586816178,-8.438522037239258,2.2518144999213506e-05,46.14461635183408,48.43435400804905,1.5359044601199472,2.7413332743631296,2.2551862742588393,-10733399.0
5859,26.77834361809126,131.56936387742468,-7.211421741262403,1.6908447729453984e-05,60.77213274825516,45.33924290863281,0.13794123175806824,0.12297161080129476,1.189470333285045,-10733015.5
5860,21.657566780233786,130.47275958542426,-7.2445116942145455,2.104465637606997e-05,58.03041330165994,41.9068257899187,0.123551440140166,0.09115118336464648,1.3287290291184768,-10733018.15625
5861,23.811566843298397,149.9176752276522,-7.199330284970494,2.145772634904067e-05,63.66334500606493,47.37759942963053,0.12616356955918046,0.0460385859835417,0.855298443966205,-10733017.625
5862,433.1031888485148,41.3084267047593,-7.9348967176655325,4.917139969380153e-05,0.10493562337536844,32.99287322188778,2.3277838319140556,1.3844805053354479,-0.9093314204653584,-10733399.34375
5863,5.749548575522054,160.57946359577076,-7.1785423698583735,1.0164822363528316e-05,59.52513619563234,44.91602901115746,0.17754084088176939,0.08861507923558286,0.9453421004252632,-10733014.9375
5864,28.517124780487496,137.24257780485488,-7.166986567083228,2.2444267406379734e-05,58.28165469880952,47.31651298129785,0.026487744645456793,-0.05921870314209435,1.081186932705282,-10733015.03125
5865,1.471082865772667,169.73213751776467,-7.176100550726856,1.7026862279802657e-05,60.02173676903456,49.99342982590761,0.1375082968515836,0.04259673101302759,0.8652011086901135,-10733014.21875
5866,2.2796023093765765,160.6845863575649,-7.141230153037464,1.7020667353460893e-05,65.24316531575998,46.63382252243852,0.09371086912457613,-0.08358830721387761,1.1174886147071377,-10733019.0
5867,12.28040549524709,149.61471556089782,-7.202392720809455,2.270187208837087e-05,62.54504421034133,46.98230740469522,0.11777828014750229,0.0726983064058683,1.0849979229659859,-10733012.625
5868,6.227624751968565,156.4227684405639,-7.214498647470207,1.3539123924948693e-05,63.36184400481046,47.02934601334078,0.14987672130392582,0.07576411268410249,1.1313367784336934,-10733013.25
5869,25.157776189741718,135.53507674928608,-7.205410030352352,2.050662495617593e-05,62.27018793433314,46.345706008615274,0.09809802168605543,0.02147902742874787,1.108465929650103,-10733012.25
5870,19.721331595284106,139.32646239450477,-7.21616745595468,1.335039907630372e-05,62.03468792047695,43.73478353061077,0.19681655525625041,0.017391978826810282,1.1679264200638975,-10733015.84375
5871,341.72719809971755,155.2255614165763,-7.0553195702024185,3.7227805442443814e-05,34.38765091939049,26.166459482919322,2.030189964099195,1.7186017976341137,1.4287946788815042,-10733396.625
5872,18.4628210192517,142.74823636986062,-7.222170257048397,1.836929675271374e-05,57.75536833175098,44.68956398100764,0.0661043387661551,-0.027592776040449518,0.991775332230993,-10733014.09375
5873,6.392691798562467,165.33050021094968,-7.1836125948890865,2.2165560342347807e-05,67.3522568363078,50.56966224612545,0.16849506192372432,0.03085363972047661,1.2183461970253304,-10733017.28125
5874,12.571146361813936,150.77280374669309,-7.206632419658938,1.3322963119796254e-05,64.570633998268,45.54373697888573,0.09849711719899329,0.06707042681616043,0.9023819899478447,-10733013.40625
