,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,pp,lnprob
5569,8.36853900117102,145.10984959032572,-7.2408082085006225,1.0394714099105154e-05,57.250759120596136,44.14066402084202,0.1118208551712988,0.13268615726513966,63.09067474390595,16.33429031199092,0.7017311482730894,-10733012.96875
5570,4.644912783270547,158.7190209575307,-7.210724016481467,7.914711980664152e-06,64.53770318396055,46.277257349653894,-0.03829841287009664,0.0434425821610589,63.285322357821045,16.755474489342905,0.6607663375976014,-10733009.6875
5571,4.435847740088269,147.08911846392263,-7.2754302867653955,1.4136720738976925e-05,56.52225800323686,44.26709575391312,0.13786979744842562,0.09128018741054664,58.112505995968945,10.73886359522864,0.9907457726894254,-10733018.8125
5572,0.21844364801285732,157.67956955446618,-7.200773874960273,2.039889554619696e-05,64.53709445531344,45.32477872046118,0.15791456188221167,0.0485474995555685,66.75572088001306,6.2988903585363385,0.9798734026788032,-10733011.40625
5573,2.963608047676952,156.1621458027292,-7.203069001978038,1.010338571110576e-05,64.25487286603644,45.46761538926928,0.10568210562539826,0.1487198816081083,59.88069280101417,22.631735951585558,0.7143199367422798,-10733010.78125
5574,13.902057343821305,144.03096708727648,-7.194176832995459,6.753784885035587e-06,62.94133713027866,46.54391210319572,0.07647042613999996,0.041596464521229774,69.565245580726,13.258150223159529,0.7207007115491678,-10733010.21875
5575,9.562586176190832,146.33945066213923,-7.219476543896212,1.4263684327882075e-05,59.10710604621084,44.53114477027524,0.07690554138352583,0.1282849563689194,61.215191766058766,19.1330059703793,0.7308081855815245,-10733010.875
5576,26.587681231039944,136.22209302394592,-7.208300775979686,2.409390246603946e-06,54.82280238041308,45.53565923864904,0.011514892251412445,0.0028791928392071925,49.3202896101007,28.876935677110826,0.22644886767773242,-10733010.71875
5577,22.676699293820096,141.14803091036103,-7.18770546707289,3.4960613498970504e-06,64.14771353197914,46.63876263937321,0.047411717731415046,0.09817090097334272,70.43434625105411,23.419403412782778,0.5459835663739332,-10733012.46875
5578,3.139538055414757,170.11767972425113,-7.170452910364478,8.1233015269938e-06,63.37708648938582,49.28370039820484,0.14191599821513773,0.03060581566175532,65.70783020763456,23.723422336433735,0.5348380347594701,-10733012.75
5579,-36.50382182239811,260.2201943741363,-0.9059238718345376,2.1303908948694187e-05,57.398358550618035,39.62050288786457,0.7582308681755181,0.9635216308668328,23.51533520507107,25.22943062460716,2.6297665031755626,-inf
5580,7.336062824593162,162.08546811054916,-7.192707700235739,5.205404158285835e-06,60.149858973478516,47.4068574966502,0.07707177376119619,-0.009473724647592469,51.67148245095059,16.375253317682393,0.4918846453251416,-10733011.6875
5581,6.438677828607069,154.96107673443012,-7.197117134712144,1.693264170521811e-05,61.10088935997915,47.56104349496771,0.14854694263665158,0.08263344043392452,72.02293727009554,2.4087052813941305,1.099745276000685,-10733012.15625
5582,9.962342153231674,143.39941768082986,-7.230810755002387,3.409538674881067e-06,62.966193706577414,44.82729808104068,0.1845789651576588,0.09517632057227188,67.05291574304425,20.60923078670576,0.9382245255297819,-10733011.03125
5583,-65.37386079884881,235.10557035692165,-3.3344749795696886,4.398124180829542e-06,81.45586042417143,38.26360424987261,0.009231136471774204,1.1658934579332376,29.70663360548162,47.389050168687824,1.587055696610674,-inf
